model,outcome,term,coefficient,standard_error,p_value,odds_ratio,or_ci_lower,or_ci_upper
Model 4: + baseline biomarkers,mortality_1d,age,0.010329464293430192,0.006345246006512792,0.1035448107083678,1.010382997373633,0.997895228791542,1.0230270392393919
Model 4: + baseline biomarkers,mortality_1d,sex_M,-0.11446765692928197,0.18076211866993472,0.5265702354390289,0.8918407828211724,0.6257809437138165,1.2710198191442954
Model 4: + baseline biomarkers,mortality_1d,icu_type_Coronary Care Unit (CCU),2.250521954132041,0.3956067598435835,1.2794614560173549e-08,9.492689291907864,4.371678156065726,20.61248490300516
Model 4: + baseline biomarkers,mortality_1d,icu_type_Intensive Care Unit (ICU),-19.157695205271843,0.7120416728242298,1.90396743763889e-159,4.785404860519509e-09,1.1852984476658865e-09,1.9320112773436157e-08
Model 4: + baseline biomarkers,mortality_1d,icu_type_Medical Intensive Care Unit (MICU),1.9637068694835387,0.38341695818861965,3.029599717341787e-07,7.125692179837657,3.360949221148582,15.107484731485277
Model 4: + baseline biomarkers,mortality_1d,icu_type_Medical/Surgical Intensive Care Unit (MICU/SICU),1.6317898411616634,0.41677800535721066,9.031079990017018e-05,5.113018023682983,2.2589948576797485,11.572825507606023
Model 4: + baseline biomarkers,mortality_1d,icu_type_Medicine,-18.12283336053835,0.5457100793852858,7.815264305137856e-242,1.346956204334846e-08,4.622151895097973e-09,3.925208555608662e-08
Model 4: + baseline biomarkers,mortality_1d,icu_type_Medicine/Cardiology Intermediate,-18.460726648006318,1.0831837475945811,3.93830692792755e-65,9.607453360343349e-09,1.1497425583565353e-09,8.028158947435386e-08
Model 4: + baseline biomarkers,mortality_1d,icu_type_Neuro Intermediate,-18.338959772708066,0.3519569568422064,0.0,1.0851529786968268e-08,5.4438313471118325e-09,2.1631033588124222e-08
Model 4: + baseline biomarkers,mortality_1d,icu_type_Neuro Stepdown,-18.219911072839565,0.39193114880369023,0.0,1.222343198448656e-08,5.6699700074380395e-09,2.635151319731241e-08
Model 4: + baseline biomarkers,mortality_1d,icu_type_Neuro Surgical Intensive Care Unit (Neuro SICU),1.5109220712338405,1.0616602776474677,0.15468714920831972,4.530906687502654,0.5655854798926581,36.29710475373674
Model 4: + baseline biomarkers,mortality_1d,icu_type_PACU,-18.900266962694783,0.4322392732250156,0.0,6.190394857559581e-09,2.6533565629402333e-09,1.444245716076542e-08
Model 4: + baseline biomarkers,mortality_1d,icu_type_Surgery/Trauma,-18.118059242559276,0.6879907391227347,7.675702570705044e-153,1.3534021066730881e-08,3.5140510737066003e-09,5.212494707469034e-08
Model 4: + baseline biomarkers,mortality_1d,icu_type_Surgery/Vascular/Intermediate,-18.46655153158934,0.3766510150998995,0.0,9.551653733923938e-09,4.565334932522137e-09,1.9984095450009073e-08
Model 4: + baseline biomarkers,mortality_1d,icu_type_Surgical Intensive Care Unit (SICU),2.2707267472090162,0.3869183983243065,4.390970593804174e-09,9.686437848362209,4.5375200646265315,20.678052516315752
Model 4: + baseline biomarkers,mortality_1d,icu_type_Trauma SICU (TSICU),1.0245394656464877,0.4972119748590128,0.039344199084023375,2.7858122028745482,1.0512941218208636,7.38209171781819
Model 4: + baseline biomarkers,mortality_1d,lactate_first,0.18388823550776232,0.01921757689965052,1.0820343346429318e-21,1.2018814879152628,1.1574536661283767,1.2480146318299277
Model 4: + baseline biomarkers,mortality_1d,creatinine_first,0.04038403600813416,0.03724573787803682,0.2782498654517509,1.041210559768447,0.9679099055554089,1.1200623359167197
Model 4: + baseline biomarkers,mortality_1d,wbc_first,0.009972706307684053,0.0035420521967969754,0.004869890026207157,1.0100225994618968,1.0030350079095047,1.0170588697097662
Model 4: + baseline biomarkers,mortality_1d,platelet_first,-0.0006433911062282495,0.0007631071990872346,0.3991612137416779,0.9993568158254478,0.9978632324123005,1.0008526348068971
